R_Sites,DA,DA_dams,HAiFLSu,HAiFLSd,HAiFLSf,HAiFLSg,HAiFLSc,HAiFLSw,Count,benthic,UpDamBin,DownDamBin,UpWWTPBin,UpLandfillBin,CSA,NPDES_Scaled,Strahler,%50m unbuff,Incision,Bank Erosion,Stage,Substrate,WeightedTSS,AnnualTSS,Phosphorus,Nitrogen,weightedphos,weightednitro,LULC Sum
1,141.29,141.287472,0.64216,3.86592,86.10318,5.32659,1.15727,0.83437,1,6,10,2,10,10,17.5,0.056621134,7,4.87,1,1.5,3,0,52.18460266,7373.16251,20634.23,123369.1,146.0416873,873.1622903,97.28733
2,145.37,145.36584,0.45104,2.62055,90.51944,3.65349,0.79849,0.5536,2,6,10,2,10,10,19,0.055031987,7,4.76,2,2,3,1,52.5414523,7637.950921,21286.71,124874.4,146.4312444,859.0108,98.14557
3,99.89,35.33,7.48117,13.36026,74.0212,10.45604,0.18389,0.00007,0,6,2,2,2,10,8.5,0.060066073,6,8.99,1,1,2,0,37.08440197,3704.360913,10771.30561,75357.27625,107.8316709,754.4026054,98.02146
4,120.91,47.416787,6.53708,11.65181,77.67762,8.84983,0.13744,0.00005,0,5,3,1,3,10,17,0.057894302,6,7.36,2,2.5,3,0,40.98218977,4955.156565,12937.22265,89609.87822,106.9987813,741.1287588,98.31675
5,125.2,51.522416,7.83262,12.65569,77.33739,8.20882,0.12627,0.00005,0,5,3,1,3,10,13.5,0.055910543,6,7.01,1,0.5,2,0,41.26372284,5166.218099,13463.60621,93247.13804,107.5367908,744.7854476,98.32822
6,20.85,6.93,56.05096,58.01831,35.13177,1.03497,0.00213,5.60592,0,4,1,1,10,10,21.5,0.095923261,5,58.36,2,3.5,3,2,35.24033851,734.7610579,2664.895079,22360.0775,127.8127136,1072.425779,99.7931
7,63.63,36.61,11.62953,14.29191,59.41097,4.89049,1.17215,16.52199,1,4,2,5,2,10,14.5,0.204306145,6,9.05,1,1.5,1,0,20.90270915,1330.039383,11962.73448,97292.60721,188.004628,1529.036731,96.28751
8,104.47,7.02,12.77429,21.78785,55.19989,3.67162,0,19.08332,0,5,1,5,10,10,20.5,0.009572126,6,10.73,2,3,3,3,33.89376784,3540.881926,12055.99103,74182.99044,115.4014648,710.0889292,99.74268
9,1029.48,99.08,41.33937,44.332,36.34041,4.03206,0.35683,11.38429,0,6,3,10,3,10,28,0.12530598,8,26.38,3,4,5,3,15.17684542,15624.25882,66560.33698,752518.4107,64.65432741,730.9694318,96.44559
10,17.38,5.163216,2.31136,16.34976,64.02911,3.51585,0.06638,15.59842,0,4,1,10,1,10,17,0.115074799,4,6.98,1,2,1,2,0.373606177,6.493275356,31.03362368,6.511799423,1.785593998,0.374672004,99.55952
11,117.14,37.441857,8.1809,10.04377,62.50517,4.35356,0.25663,21.40668,2,6,4,10,10,10,14.5,0.102441523,6,4.43,0,0.5,1,0,13.67935388,1602.399514,9795.138096,84957.79624,83.61907202,725.2671695,98.56581
12,114.04,71.965383,8.69218,11.28767,56.42709,5.77644,1.95044,19.72956,7,4,5,10,5,10,13.5,0.122763942,6,6.21,1,1,2,2,20.51596585,2339.640746,17638.53381,131768.6874,154.6697108,1155.460254,95.1712
13,88.95,22.81,9.51973,11.46711,61.9105,3.59488,0.14999,21.07325,3,5,2,10,10,10,8.5,0.089938168,6,5.71,0,0,1,2,11.64593095,1035.905558,6094.144494,64688.85902,68.51202354,727.2496799,98.19573
14,1140.86,181.37,37.54459,39.89914,41.28391,3.40052,0.6599,11.45883,0,7,5,10,1,2,32.5,0.132356293,8,23.58,4,2,4,3,16.30373474,18600.27881,153975.7997,1053675.311,134.9646755,923.5798527,96.7023
15,129.7,87.187378,7.28118,9.79613,55.24631,5.79565,3.17386,21.91805,3,5,7,10,6,1,13,0.115651503,6,5.42,0,0,1,2,20.11952323,2609.502163,19808.03316,143750.1197,152.721921,1108.327831,95.93
16,45.9,30.85,59.96239,61.43225,28.11542,0.8418,0.00935,8.53849,0,5,2,10,10,10,24.5,0.392156863,6,41.45,3,4,4,2,31.82201336,1460.630413,5736.349225,49131.32367,124.9749287,1070.399208,98.93731
17,858.63,62.59,30.03398,32.716,45.25126,5.19812,0.47931,12.37005,0,6,2,10,2,10,27,0.083854512,8,17.41,3,2,5,2,7.425665656,6375.899302,33789.53999,560926.5435,39.35285279,653.2808585,96.01474
18,366.09,259.26,1.06454,2.41996,75.48199,4.44546,0.58711,14.52284,0,5,6,5,5,7,33,0.040973531,8,4.56,4,4,5,2,26.17483476,9582.345259,36703.90138,222800.4677,100.2592296,608.5947927,97.45736
19,56.71,47.963996,1.92785,3.95411,62.89031,7.75788,1.01774,17.64175,0,5,3,3,2,10,10.5,0.211602892,6,3.82,0,0,6,3,24.46593772,1387.463328,6757.212554,47345.69994,119.1538098,834.8739188,93.26179
20,551.56,424.520237,1.08359,2.41774,71.53074,5.26728,0.98483,16.08052,5,6,7,2,3,10,25,0.070708536,8,4.45,3,3.5,4,2,24.07583244,13279.26614,58758.27441,354567.2026,106.5310654,642.8443009,96.28111
21,70.85,66.871594,0.00075,0.43058,73.5292,3.88143,0.67584,19.84659,1,6,10,3,10,0,19,0,6,1.91,2,3,2,2,9.907499783,701.9463596,4573.019658,33212.91818,64.54509045,468.7779559,98.36364
22,243.1,155.58,1.2553,2.40839,86.2977,5.20942,0.77035,2.63932,1,5,4,7,3,5,26.5,0.045248869,8,5.22,3,3,5,2,21.32325973,5183.68444,25417.17018,146955.2177,104.5543816,604.5052148,97.32518
23,215.05,127.831974,2.80784,5.21806,73.14581,8.73152,1.76587,5.57166,4,5,1,8,2,5,8.5,0.051150895,8,5.95,0,0,1,0,22.25048057,4784.965846,23889.0236,140301.9069,111.0859038,652.4152844,94.43292
24,166.63,82.53,0.14544,1.87286,73.90509,9.20147,1.84042,6.18731,0,6,3,8,4,4,15,0.024005281,7,4.85,0,1,1,2,22.55418021,3758.203049,18049.1632,98533.53423,108.3188093,591.3312982,93.00715
25,104.61,20.58,0.00118,1.64975,75.97563,9.11635,1.17265,4.22511,0,2,1,10,2,2,30,0.019118631,6,2.71,4,4,5,2,19.91982225,2083.812606,11154.44373,63850.69981,106.6288474,610.3689878,92.13949
26,81,0.02968,0,4.49118,94.74647,0.76234,0,0,0,5,1,3,1,2,12.5,0.024691358,6,28.57,1,0,1,0,13.35978063,1082.142231,8555.488801,49387.47692,105.6233185,609.7219372,99.99999
27,54.16,54.160405,0.00877,3.12058,73.93561,9.80208,1.57706,7.83477,0,6,10,1,10,2,17.5,0.018463811,6,4.2,1,2,2,0,18.73047338,1014.442438,6119.812223,34652.91939,112.9950558,639.8249518,96.2701
28,48.08,48.08,0.00941,2.83139,73.62257,9.90713,1.74222,8.79903,0,6,10,1,10,2,15,0.020798669,6,4.43,1,1,1,1,16.23262822,780.4647648,5240.859653,30612.89923,109.0029046,636.7075546,96.90234
29,25.87,25.869551,0.01698,1.64865,69.99981,9.50219,2.45669,14.19742,0,6,10,2,10,10,11,0,5,5.31,0,0.5,1,0,10.31041154,266.7303465,2644.308079,16209.92225,102.215233,626.5915055,97.80476
30,21.41,21.406981,0.02052,1.9147,66.0145,9.5432,2.95407,17.08786,0,6,10,2,10,10,9,0,5,7.16,0,0,1,0,8.196138991,175.4793358,2365.724836,14615.41012,110.4962558,682.6440972,97.51433
31,106.99,52.74,0.67561,1.92068,76.84132,2.60421,0.29912,17.72903,0,4,3,2,3,10,17.5,0.056080007,6,2.47,2,1.5,3,2,11.75443528,1257.607031,8128.217473,60239.18737,75.97174944,563.0356797,99.39436
32,75.75,21.5,1.65109,3.84242,71.24279,2.19038,0.31415,21.75538,0,4,1,4,1,10,18,0.079207921,6,3.19,3,1,6,2,12.0367739,911.7856227,6402.642671,48720.3698,84.52333558,643.1731987,99.34512
33,19.22,19.15,0.00655,2.59139,63.08293,7.61661,4.75834,15.86491,0,4,2,1,10,10,10,0,5,1.74,0,0,2,2,10.17137738,195.4938733,2899.83291,24315.87719,150.8758018,1265.134089,93.91418
34,186.43,186.429172,2.35908,5.88185,38.74139,0.00271,13.40939,39.86785,8,5,10,10,10,10,22,0.053639436,6,6.49,4,2,3,1,10.92918808,2037.528534,21183.95871,225196.3702,113.6295591,1207.940622,97.90319
35,1298.99,278.9,0.59185,1.08555,54.90403,0.51966,2.25532,30.25307,4,6,5,10,4,9,22,0.0746734,8,5.37,3,1.5,5,1,13.82021674,17952.32334,130220.5891,1079250.729,100.2475685,830.8383659,89.01763
36,1002.58,67.770368,0.60876,0.78859,55.14421,0.05209,0.74301,30.98229,9,6,3,10,2,7,22,0.076801851,8,11.71,3,1.5,5,1,15.64730267,15687.67271,110501.1783,884241.6119,110.2168189,881.9661393,87.71019
37,959.71,31.976384,22.25789,26.69269,48.78603,0.97243,7.46346,13.7728,3,5,2,10,1,5,27,0.075022663,8,15.81,3,3,4,1,16.16429057,15513.0313,96855.42797,773720.232,100.9215575,806.2021152,97.68741
38,794.24,10.205797,0.19582,2.91304,49.33625,6.06979,6.15289,33.33477,11,6,1,1,9,10,22.5,0.065471394,8,5.46,2,2,4,1,16.98063923,13486.7029,76505.87977,596217.7719,96.32589616,750.6770899,97.80674
39,690.46,25.773974,0.03666,1.04711,58.65914,3.5712,3.8784,28.11356,8,5,3,2,6,10,18.5,0.066622252,8,2.44,2,2,2,1,20.84675409,14393.84983,69131.64672,455290.8693,100.124043,659.402238,95.26941
40,679.89,15.874528,0.04416,0.90422,69.95013,3.87107,2.59768,19.35104,2,5,2,3,5,10,13.5,0.067658004,8,3.58,1,0.5,2,2,21.15074883,14380.18262,68625.80884,448905.0991,100.9366351,660.2613644,96.67414
41,664.18,0.25625,0.52221,6.24467,70.11683,2.34234,2.87658,13.03701,2,5,1,4,4,10,24.5,0.067752718,8,4.62,3,4,4,2,21.63331258,14368.41355,68247.32161,440929.3688,102.7542558,663.8702893,94.61743
42,101.44,101.44,0.35741,2.73401,39.09536,1.01732,22.51521,34.6776,0,3,10,10,10,10,10.5,0.009858044,6,4.89,0,0,1,1,8.438883083,856.0402999,11659.94818,113019.1778,114.9442841,1114.148046,100.0395
43,269.69,184.93,0.55123,2.66148,55.5168,3.57616,10.57009,24.10828,7,6,10,10,10,10,12,0.063035337,6,2.58,0,0,1,1,10.69041273,2883.097409,24979.6805,197874.0709,92.6236809,733.7093362,96.43281
44,760.75,231.63,0.41841,2.54588,46.52648,1.53733,13.78232,34.65533,5,4,10,10,4,10,26,0.0170884,7,3.06,3,3,4,1,9.2858718,7064.226972,53208.52192,494139.0794,69.94219116,649.5420038,99.04734
45,239.75,155.203727,0.27514,2.15681,58.06012,3.8404,7.4167,24.46949,4,6,10,10,10,10,12.5,0.070907195,6,2.47,0,0,1,1,10.93159479,2620.84985,22885.48725,169676.3304,95.45562984,707.7219204,95.94352
46,454.55,389.988264,0.11168,1.22907,75.12162,3.35576,0.99419,18.46897,10,6,4,10,8,5,16.5,0.024199758,7,1.77,1,0.5,2,1,11.51304323,5233.2538,32324.15002,225620.443,71.11241892,496.3600111,99.16961
47,187.59,181.411876,0.03273,1.41971,77.534,3.86431,1.18184,15.5269,5,6,10,10,10,4,20,0.026653873,6,1.66,2,3,3,1,10.91296041,2047.162244,13056.74141,95903.84665,69.60254495,511.2417861,99.52676
48,101.51,101.235226,0.01294,1.1601,75.85243,3.85391,1.21373,17.27126,0,6,10,10,10,10,22.5,0.009851246,6,1.59,2,2.5,4,1,10.3006584,1045.619834,6118.500053,51536.95523,60.27485029,507.7032335,99.35143
49,47.16,47,0.01332,0.7076,78.38916,4.59304,1.93492,13.86228,0,5,10,10,10,10,15.5,0.021204411,6,1.29,1,1.5,2,2,11.87383319,559.9699732,3030.307835,24015.43967,64.25589133,509.2332415,99.487
